"haplotype","lineage","genus","informative_length","is_partial"
1,"L_ACAFLA02","Leucocytozoon",479,FALSE
1,"L_CARFLA04","Leucocytozoon",476,TRUE
2,"L_ACAFLA03","Leucocytozoon",479,FALSE
2,"L_SEINOV02","Leucocytozoon",464,TRUE
3,"L_ACCBRE01","Leucocytozoon",361,TRUE
3,"L_ACCBRE02","Leucocytozoon",479,FALSE
4,"H_ACAED01","Haemoproteus",305,TRUE
4,"H_ACDUM3","Haemoproteus",479,FALSE
5,"H_AECA01","Haemoproteus",479,FALSE
5,"H_FIZAN01","Haemoproteus",326,TRUE
6,"P_AEDVEX01","Plasmodium",479,FALSE
6,"P_EMHOR1","Plasmodium",361,TRUE
7,"H_AEFUN03","Haemoproteus",479,FALSE
7,"H_GLACUC01","Haemoproteus",304,TRUE
8,"L_AFR176","Leucocytozoon",476,TRUE
8,"L_AFR241","Leucocytozoon",458,TRUE
9,"H_ALCPOI02","Haemoproteus",479,FALSE
9,"H_ALMOR06","Haemoproteus",326,TRUE
10,"P_ALEDIA01","Plasmodium",479,FALSE
10,"P_RBQ16","Plasmodium",210,TRUE
11,"P_AMMAUR01","Plasmodium",479,FALSE
11,"P_SEIAUR02","Plasmodium",368,TRUE
12,"H_ANACRE01","Haemoproteus",479,FALSE
12,"H_TUSW06","Haemoproteus",423,TRUE
13,"L_ANACRE02","Leucocytozoon",479,FALSE
13,"L_ANACU02","Leucocytozoon",358,TRUE
14,"H_ANIFLA01","Haemoproteus",477,TRUE
14,"H_ANSOM01_Haemoproteus_coatneyi","Haemoproteus",452,TRUE
15,"L_ANSFAB01","Leucocytozoon",479,FALSE
15,"L_TUSW01","Leucocytozoon",423,TRUE
16,"L_ANTTRI02","Leucocytozoon",454,TRUE
16,"L_TRPIP3","Leucocytozoon",422,TRUE
17,"L_APSPI12","Leucocytozoon",478,TRUE
17,"L_SEPSEP01","Leucocytozoon",446,TRUE
18,"P_APSPI14","Plasmodium",478,TRUE
18,"P_ZOCAP03","Plasmodium",449,TRUE
19,"H_ARGCAU1","Haemoproteus",479,FALSE
19,"H_TURGUL01","Haemoproteus",249,TRUE
20,"P_BAEBIC02_Plasmodium_homopolare","Plasmodium",479,FALSE
20,"P_TABI07","Plasmodium",285,TRUE
21,"P_BAEBIC01","Plasmodium",368,TRUE
21,"P_BAEBIC04","Plasmodium",479,FALSE
22,"P_BAHYP01","Plasmodium",478,TRUE
22,"P_VOLJAC01","Plasmodium",249,TRUE
23,"H_BLUTI09","Haemoproteus",478,TRUE
23,"H_LARSCO01","Haemoproteus",286,TRUE
24,"H_BNOW03","Haemoproteus",479,FALSE
24,"H_FASPA01","Haemoproteus",361,TRUE
25,"P_BT7","Plasmodium",479,FALSE
25,"P_PARUS2","Plasmodium",409,TRUE
26,"H_BUBBUB02","Haemoproteus",479,FALSE
26,"H_NINOX06","Haemoproteus",449,TRUE
27,"P_BUBBUB03","Plasmodium",479,FALSE
27,"P_ZOSBRU01","Plasmodium",210,TRUE
28,"L_BUTJAM04","Leucocytozoon",479,FALSE
28,"L_BUTLIN01","Leucocytozoon",361,TRUE
29,"L_AKGPL03","Leucocytozoon",425,TRUE
29,"L_CALMIN01","Leucocytozoon",471,TRUE
30,"L_CARBAR01","Leucocytozoon",477,TRUE
30,"L_ZOCAP05","Leucocytozoon",424,TRUE
31,"H_CARCAN02","Haemoproteus",479,FALSE
31,"H_SETCER03","Haemoproteus",479,FALSE
32,"H_CARCAR50","Haemoproteus",479,FALSE
32,"H_PSADEC01","Haemoproteus",305,TRUE
33,"P_CATFUS11","Plasmodium",479,FALSE
33,"P_TUMIG05","Plasmodium",368,TRUE
34,"L_CATBIC07","Leucocytozoon",443,TRUE
34,"L_CATFUS17","Leucocytozoon",477,TRUE
35,"L_CATFUS18","Leucocytozoon",477,TRUE
35,"L_CATMIN08","Leucocytozoon",443,TRUE
36,"L_CATMIN05","Leucocytozoon",479,FALSE
36,"L_CATUST11","Leucocytozoon",443,TRUE
37,"P_CATUST01","Plasmodium",368,TRUE
37,"P_CATUST06","Plasmodium",479,FALSE
38,"L_CATUST14","Leucocytozoon",479,FALSE
38,"L_GEOTRI07","Leucocytozoon",304,TRUE
39,"H_ADEMEL01","Haemoproteus",456,TRUE
39,"H_CATUST22","Haemoproteus",478,TRUE
40,"H_CHRRID01","Haemoproteus",479,FALSE
40,"H_LARCAC01","Haemoproteus",199,TRUE
41,"L_CIAE02","Leucocytozoon",479,FALSE
41,"L_TYTAL12","Leucocytozoon",450,TRUE
42,"P_CINCHL01","Plasmodium",479,FALSE
42,"P_CINCHL02","Plasmodium",305,TRUE
43,"H_CINSOV01","Haemoproteus",479,FALSE
43,"H_NENOT04","Haemoproteus",464,TRUE
44,"L_CLAHYE01","Leucocytozoon",479,FALSE
